,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
550033,McDonald-s,2021-04-17, Cashier,Former Employee,Hong Kong,3,,,,1.0,,,o,o,o,Normal part-time job,learn to deal with different customers,exhausting work during busy hours but it is normal for this position
243207,EY,2016-10-30, Tax Senior,Current Employee,"London, England, England",3,2.0,3.0,,4.0,3.0,3.0,x,r,v,Tax advisor,"Flexible working, clear career progression and good training","Bureaucracy, work life balance"
529087,McDonald-s,2019-07-13, Kitchen,Former Employee,,3,,,,,,,o,o,o,Decent,Good first job to build experience on.,Smell after work. Younger employees
108155,Booking-com,2019-04-18, Team Lead,"Former Employee, more than 1 year",Amsterdam,1,4.0,1.0,,1.0,2.0,1.0,x,r,v,Do not come there,"- It offers a good relocation package to the Netherlands, so if you need a visa for coming to work over here it is a ""nice"" choice. It includes between 5k and 7.5k of cash, visa expenses, plane ticket for you and your partner/family, 1 month of rent 
and an agency services to help you find a home.
- The lunch is good, and it costs around 2.5 euros, already included in your payslip, which is a great deal for the Netherlands. 
- The offices are quite nice, usual perks such as fruit, coffee. 
 - If you are lucky, you get a good manager that will help you grow.
 - *most* of the teams have a good work/life balance","- This was the company I've been disappointed the fastest in my career, realised it was not a good company after 3 months being in there.
 - The company embaraces and promotes people that firefights issues in production, the type of people that can find the bug on the spaghetti code put into production and fix it fast. On the other hand, if you are a person that likes to be preventive, tries to push for better coding practices, promotes the development of tests in order to AVOID AS MUCH AS POSSIBLE future issues in production, you will get nothing. I had a manager that told me that ""writing tests was slowing us down"", and I must stop writing them. 
 - There is a big monolith written in Perl. Having a monolith is not bad per se, coding in Perl is not bad per se. Having a monolith in perl without proper ownership of teams through the code, with people pushing changes without even testing them, with people making deploys and not caring about anything during the process, is horrible and painful. If I had known this before joining, I would have not joined at all. 
 - All the people I referred had a horrible experience on the interview process, which tells me that 1) I was lucky in the recruitment process, and 2) there are a lot of unprofessional people working in HR. 
 - I did not experience it myself, but there are a lot of burnout cases through the company (I personally know 2 cases). Most of them are a consequence of bad managers. There are a lot of good managers but most of them will not shine, as they are not showponies. 
 - There are a lot of retaliation cases, also did not happen to me but it did to a close friend. If you decide to join, do get well with your manager. 
 - If you want to grow in there, you need to have 3 things:
        - excellent communication skills 
        - excellent commercial awareness. 
        - speed coding and pushing changes fast. Quality of your code is not important at all (unless you get a good manager). 
 - Being a team lead sucks, as you will have way more responsibilities than the developers, but the difference on the payslip is between 0 and 5%. 
 - During the interview process they will tell you that they will support your partner on finding a job. That is a huge lie. The only thing they do is give him/her a couple of CV trainings."
83420,Balfour-Beatty,2016-04-04, Project Manager,"Former Employee, more than 5 years","Irvine, CA",4,4.0,5.0,,3.0,5.0,2.0,v,v,r,Project Manager,Very good and safe working environment,some jobs are not fully completed when the upper management pull you out to help in another one
429821,J-P-Morgan,2020-12-17, Analyst,Current Employee,"San Francisco, CA",4,3.0,5.0,4.0,5.0,4.0,4.0,v,o,v,"Great people, hard work",People are very kind and willing to help you grow.,Hard work and can be slightly competitive
584330,Microsoft,2020-08-26, Senior Software Engineer,"Current Employee, more than 5 years","Redmond, WA",3,3.0,3.0,,3.0,2.0,3.0,v,v,r,Rating,"Good work, good learning, and sometimes good work life balance but not whole year",Less salary compared to lateral entries and other competitive companies
285126,Goldman-Sachs,2021-02-12, Analyst,Current Employee,,4,4.0,3.0,3.0,5.0,4.0,3.0,o,o,o,Compliance Analyst,Lot of opportunity to learn,Busy but great place to grow
62185,BNP-Paribas,2014-02-06, Associate,"Current Employee, more than 1 year",Singapore,4,3.0,4.0,,3.0,3.0,3.0,v,v,v,A good company to work for,"-Supportive team mates
-Expanding business franchise
-Good reputation globally
- Pretty decent salary
- Opportunities to travel","- Bureaucratic
- Long hours
- Not a very streamlined organisation 
- Slow in making decision
- Not very flexible in dealing with issues"
398707,IBM,2021-03-25, Senior Technical Specialist,Former Employee,,4,4.0,4.0,4.0,3.0,2.0,3.0,v,o,o,working culture is very good. You can manage work life balance in IBM.,Work life balance and work from home.,yearly salary increment and bonus.
63412,BNP-Paribas,2018-03-06, Anonymous Employee,Current Employee,,3,5.0,3.0,,3.0,3.0,3.0,o,o,o,Ok,Good if you are a contractor,Bad if you are a permanent employee
181003,Deloitte,2015-11-02, ,"Former Employee, more than 5 years","Washington, DC",4,2.0,2.0,,5.0,5.0,3.0,v,v,v,SEnior Consultant,Big company with cool benefits and advancement opportunities.  You are able to do alot of training and work with a good amount of highlighy proficient people,"Just a number, they work you to death, work life balance totally sucks.  A sucky supervisor can ruin your life, lots of backstabbing, and you never know if you are being judged on work or how cool you are at happy hour"
509556,McDonald-s,2015-06-15, Department Manager McDonald's,"Current Employee, more than 3 years","Muskogee, OK",4,4.0,3.0,,5.0,5.0,3.0,v,o,v,Stressful,"Some say McDonald's is a blow over job but it's not. There's real potential to be someone but that does not come without a price. In my position I make 12 dollars an hour, get free Gold insurance and a bonus that varies from 200 to almost 400 dollars a month.",In my position I am over worked and feel taken advantage sometimes nut I won't go into that now. The workload is tremendous but there's never enough time to complete it all unless you chose and sometimes are force to work extra hours. People come and people go so training is never ending.
144381,Citi,2016-12-12, Vice President ,"Former Employee, more than 1 year","New York, NY",2,3.0,1.0,,2.0,4.0,1.0,x,r,r,Good Overall Benefits - Organization too Large to,"Competent compensation, 22 PTO days for Officer-level positions, in addition to all US Holidays, 401k with company match up to 5 or 6% but nothing you don't see at other major investment banks.","Their corporate real estate organization is led by an army of middle-aged catty women who like to hear the sound of their voice and don't get anything done. They tend to hire older people, so if you are younger and happen to be a slightly attractive female, beware - they will will hire you just to fill their diversity quota but they will make sure to make it challenging for you to progress. HR department allowed an incompetent manager to continue to harass her employees even though this person is a repeat offender; I submitted a claim and they instead turned against me and proceeded to delete all records of my grievances.  Senior management is aware of cultural issues but won't do anything to change it. I met a lot of unsatisfied employees who only stay because of the competitive pay. Too many processes that get in the way of actually getting things done, and too many officer-level titles which leads to an oversupply of inflated egos."
534486,McDonald-s,2020-06-29, Crew Member,"Current Employee, more than 5 years",,4,5.0,3.0,,1.0,3.0,3.0,o,o,o,Good First job/ college job,"Super flexible hours, has the option of working once a week, friendly employees","Bad Management, intense foot pain"
654090,Penguin-Random-House,2020-10-10, Marketing Specialist,Former Employee,,2,3.0,3.0,,2.0,2.0,2.0,x,r,r,"Disorganised Management, Petty Politics, Slow Growth","The Gurgaon office is situated in the city centre, near to a lot of malls, restaurants and bars. You will initially be awestruck by the welcoming interiors, free books, goodies, new events and celebrations but soon monotony and the work grind will set in and you'll be on your toes!",More benefits are provided to full time employees and a bias exists against consultants or contract employees. There is a sycophantic and toxic attitude in the editorial and marketing teams which really hampers your progress in a team as well as an an individual. The so called flexi hours and 8 hours work culture is only for the upper management.
477075,Lidl,2017-06-27, Staff,"Former Employee, more than 10 years","Wrexham, Wales, Wales",5,,,,,,,v,o,o,Hair dresser,Great staff. Public communication,Work at night. English language
79509,Babylon-Health,2021-03-05, Anonymous Employee,"Former Employee, more than 3 years",,1,1.0,1.0,1.0,1.0,1.0,1.0,x,x,x,Avoid,Smart people who want to make a change,"Political environment, not product driven, no autonomy for teams and very bad middle and upper management.
Undervalues employees, no career development or compensation review process."
432742,J-P-Morgan,2021-03-31, Investment Banking Analyst,"Former Employee, less than 1 year","New York, NY",1,1.0,1.0,1.0,5.0,5.0,1.0,x,v,v,overworked,the pay is really great,you work 24-7 including weekends
742682,Santander,2021-03-08, Telephone Mortgage Advisor,Current Employee,"Leicester, England, England",4,3.0,4.0,5.0,4.0,2.0,4.0,v,r,v,Great company,I started not long before the pandemic and the support was amazing. Managers are always keen to help and provide you with whatever help you need.,Can be repetitive depending on the role
146948,Citi,2018-03-01, Financial Analyst,"Former Employee, more than 1 year","New York, NY",2,1.0,1.0,,2.0,2.0,2.0,x,o,o,Citigroup Private Bank (CPB),"Opportunity to learn many financial software, interaction with people all over the organization to gather and validate actuals and forecast inputs.","Management is often asking staff to work nights and weekends constantly changing priorities, unfair performance review and salary increase policies in which the outcome is pre-determined and the review is to justify that outcome, unreasonable financial and performance targets that change abruptly."
829475,Willis-Towers-Watson,2019-08-18, Executive Compensation Consultant,"Former Employee, more than 1 year",Ciudad de Mexico,3,2.0,3.0,,2.0,4.0,4.0,v,v,r,Great company,Great people and great minds to work with,"In some local offices, people's agenda (politics) was more important than collaboration and team work"
102197,Bloomberg-L-P,2018-12-15, ,"Current Employee, more than 1 year","New York, NY",5,,,,3.0,,,o,o,o,UX,The best culture in new york.,Comp comp comp comp comp
340361,Hyatt,2020-04-25, Sales Manager,"Former Employee, more than 8 years",,5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Sales,The best hotel company to work for!,I do not have any cons!
461667,KPMG,2020-03-03, Security Analyst,"Former Employee, less than 1 year",,1,2.0,1.0,,1.0,1.0,1.0,x,x,x,"Poor work environment, low pay","1. Average infrastructure.
2. You will improve your reporting/documentation skills.","1. Low compensation
2. Micro-management
3. Unhealthy work environment"
61467,BDO,2021-05-07, Tax Associate,Former Employee,Kuala Lumpur,5,,,,,,,o,o,o,Spacious pantry,Free coffee and milk vending machine,Lack of food choices for lunch
383929,IBM,2019-08-19, Systems Engineer,"Current Employee, more than 1 year",Calcutta,3,4.0,1.0,,2.0,2.0,1.0,x,o,o,Only Kolkata IBM is good,"-Flexible working hours.
-Like other big big MNCs card punch, 9 hr office rule are not here
-Laptop for everybody.
-unlimited sick leaves with valid medical certificates.
-Flexible work from home.
-Best Learning and training platform.","-All the above mentioned pros are not applied for Chennai IBM. There mostly old employees with typical judgmental mindset work.
- They will  spoil your carrier just because you are not staying in office  min 9hr. 
- Bangalore IBM has all good carrier opportunities, but there u to work more than 60hrs in a week, but max 45hr labor you can claim. 
- Apart from Bangalore, you cant get jobs on latest skills like IoT, Block-chain, Cloud App etc in any other DCs."
252875,EY,2019-07-07, Anonymous Employee,"Current Employee, more than 1 year",,3,2.0,3.0,,3.0,4.0,2.0,o,o,o,Advanced tax Analyst,freedom to work form remote locations,"Long hours, stressful during the season"
629634,Oracle,2017-05-23, ,Current Employee,,3,4.0,3.0,,4.0,3.0,2.0,o,o,o,Oracle Employee Review,Relaxed work culture and great people.,Below market base pay and stock grants.
57403,B-and-Q,2021-05-09, Customer Assistant,Current Employee,"Preston, North West England, England, England",3,,,,,,,o,o,o,a so-so place to work,great people to work with,"bad hours
no overtime allowed so stuck on minimal contracts
bad management"
329890,Hilton,2016-09-11, ,"Former Employee, more than 1 year",,3,3.0,3.0,,5.0,4.0,4.0,o,o,o,Job,Loved the hardworking line employees,Some of the downsides were hard finding employees due to location of the hotel.
106212,Booking-com,2015-06-19, Bilingual Customer Service Representative,"Former Employee, less than 1 year","Grand Rapids, MI",3,3.0,3.0,,4.0,4.0,3.0,v,r,r,Booking.com bilingual Customer Service Rep.,"Clean, fun office environment. Free trips to Europe!","Have to start through a temp agency for the first few months at least.

I hate the fact you don't know what hours/shift you will work until the last day of your classroom training. In my case I was assigned a 3rd shift (working 10pm to 6am)"
709142,Roche,2015-08-10, ,Current Employee,,3,3.0,2.0,,2.0,5.0,3.0,o,o,x,Too Big to make an impact as individual contributor,Salary and Benefits. Low visibility,Too big. Little advancement. Constant changes in structure.
833742,YOOX-NET-A-PORTER-GROUP,2017-02-19, Studio Employee,"Former Employee, more than 3 years","Mahwah, NJ",3,4.0,2.0,,3.0,2.0,2.0,o,o,o,"Hit or miss, a company in transition","Finding the right people here is key, so many  talented and smart people come through this place!","The location doesn't have much access to food, and the cafeteria has some real ups and downs."
710401,Roche,2019-09-06, Accountant,"Former Employee, more than 5 years",Budapest,1,1.0,3.0,,2.0,2.0,1.0,o,r,o,Senior Management is discredited,"The Company Roche, in general os ok.","Recent Budapest SSC Senior Management is terrible. The very few still valuable is being sent away with various ""created"" reasons. They are building a Kingdom with their servants. They are destroying the values built during 13 years. I hated to go to work this year, as everything  is so false now."
409136,J-P-Morgan,2010-10-10, Associate Analyst,Former Employee,"New York, NY",4,3.0,,,4.0,4.0,4.0,v,v,o,Review from a former Equity Research Associate at JPMorgan Chase,"Competitive salary and bonus. Great benefits. Fortress balance sheet, hence job security.","Bureaucracy, as with any large organization."
431548,J-P-Morgan,2021-02-15, Senior Business Analyst,"Former Employee, more than 5 years","Tampa, FL",4,5.0,5.0,5.0,5.0,4.0,4.0,v,v,v,Doing It Right,A quality organization that has high expectations of their staff.,Constant shift in senior leadership.
563810,Microsoft,2010-05-30, ,Current Employee,,4,5.0,,,3.0,3.0,3.0,o,v,o,"Good place to work, difficult culture to navigate","Challenging work environment, bright colleagues, exposure to cutting edge technologies.  Great to put on your resume.  Flexible work/life balance encouraged.","Navigating the bureaucracy is a serious challenge.  Very political, too many middle managers preventing effective communication and collaboration.  Average salaries at best."
85701,Barclays,2013-11-20, Process Advisor,"Former Employee, more than 1 year",Chennai,3,3.0,3.0,,4.0,3.0,3.0,v,o,r,Miexed experience,"one would get immense exposure to corporate life, clients, learn new things, abundant opportunities for promotions",politics plays its dirty hand at times during promotions n appraisals
64432,BNP-Paribas,2020-04-10, IT Analyst,"Current Employee, more than 3 years","London, England, England",1,4.0,1.0,,1.0,3.0,1.0,x,x,x,Avoid the sinking ship,above average salary and good work-life balance,"sinking ship ten years behing competition, serious misconduct, bad reputation"
158262,Compass-Group,2016-07-12, Supervisor,"Current Employee, more than 8 years","Charlotte, NC",5,5.0,5.0,,5.0,5.0,4.0,v,o,v,Supervisor,"Great company to work for, great benefits, generous time off and work life balance.",Pay is not competitive with other companies in the area
269583,FirstPort,2021-01-31, Residential Development Manager,"Current Employee, more than 1 year","London, England, England",5,5.0,5.0,5.0,4.0,3.0,5.0,v,v,v,Good company to work for,"Great work life balance, trust shown by management, great job, good job satisfaction, lot of support available,","Wage could be better, overtime compensation would be nice. Safeguarding could be a bit better for lone working."
193983,Deloitte,2018-11-04, Manager,"Former Employee, more than 3 years","Zürich, Zürich",2,3.0,2.0,,3.0,3.0,1.0,x,o,r,OKAY,"Consulting lifestyle, many challanges, possibility to work on interesting projects","Many fools around, in particular Sr. Mgt."
793608,Unilever,2021-05-19, UFLP R&D,Former Employee,Mumbai,5,,,,,,,o,v,o,Great Firm,"Amazing learning, Ownership, Great seniors",Difficult on site work at times
807241,University-of-Sheffield,2017-02-07, Research Associate,"Current Employee, more than 5 years","Sheffield, England, England",4,4.0,4.0,,3.0,3.0,3.0,v,r,x,Biomedical research,Strong reputation in biomedical research. Concentrated and central location in the city. Ease of interaction across research disciplines.,Not at the heartland of research so can be difficult to create external collaborations and high quality traffic for open science lectures.
482268,Lloyds-Banking-Group,2015-02-25, ,Current Employee,,4,4.0,3.0,,3.0,3.0,3.0,v,v,r,Good work-life balance,"- Friendly atmosphere
- Good work-life balance",- Not enough advancement opportunities
313733,HSBC-Holdings,2017-04-03, Contractor Reviewer,Former Employee,"Bristol, England, England",4,4.0,4.0,,,4.0,4.0,v,o,v,Good Contractor Role,"Flexible hours
good rate
Nice office environment",No details identified to note
768558,The-British-Army,2018-04-03, Anonymous Employee,"Current Employee, less than 1 year",,3,2.0,5.0,,4.0,4.0,1.0,x,r,r,Avioincs,"Teamwork, benefits, pension, training,  travel","Long, Hours, Unsocialable, Hard, Equipment"
814782,Vodafone,2017-10-12, Senior Executive,"Former Employee, more than 1 year",Bangalore,5,5.0,5.0,,5.0,2.0,5.0,o,v,v,Very flexible,1) Good team and learning environment.,"1) HR is not helping.
2) Hikes are not good."
196033,Deloitte,2019-04-26, Project Manager,"Former Employee, less than 1 year",,2,1.0,1.0,,2.0,2.0,1.0,x,r,r,Worst at transitioning employees,I can't think of any. Everyone is swallowed up by the huge corporation with total anonymity.,"Poor transition from a small company bought out by Deloitte. People from the former company were permitted to act as if they had senior management roles without any repercussion, many of us were expected to take a pay cut when bonuses were given out."
634799,Oracle,2018-10-18, Senior Compensation Analyst,"Current Employee, more than 3 years","Rocklin, CA",3,,,,,,,o,r,o,Sr Compensation Analyst,"Experience, decent people, good health coverage.",Company likes to keep you stuck at your wage & does its best to not increase your pay.
86186,Barclays,2014-11-06, Anonymous Employee,Current Employee,,3,3.0,3.0,,3.0,1.0,3.0,x,v,x,Good people but the work environment could be more engaging,Rotation policy gives you a chance to work in multiple teams,Compensation is not competitive enough
601671,Morrisons,2021-01-28, Customer Service,"Current Employee, less than 1 year","Liverpool, England, England",5,,,,,,,o,o,o,Customer Assistant,Good wage and Flexible hours,Constant issues with payroll and need to book holiday well in advance
666011,Primark,2019-10-13, Retail Sales Assistant,Former Employee,"London, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,r,r,I like to learn more about the way the job does,So I can show you how hard I could word in your company and I love to see more things that I can lean much more,Working on the till and put things in order and and challenge myself doing different and new
922,ALDI,2021-02-11, Assistant Manager,"Current Employee, more than 5 years","Cardiff, Wales, Wales",5,4.0,4.0,5.0,5.0,5.0,5.0,v,o,v,48 Hours over 5 Days,"Good environment to work in, also hard work is rewarded. Chances to progress via hard work. In general staff are great also.",late finishes or early starts can fluctuate.
7339,Accenture,2009-04-09, Systems Analyst,Former Employee,"London, England, England",2,2.0,,,2.0,4.0,1.0,x,r,o,"Nice company, acceptable pay, but competing internal workforces causes friction between employees and departments.","Nice payment package, compensation, being able to work in different sectors, some travel. The use of an Amex card is quite handy as well if you havent got one. Being able to think and work out of the box, working for other clients. Great training and benefits packages being given.","Competing workforces i.e consultants v solutions, Dog eat dog culture, survival for the fittest. Back biting from executives, being placed in projects and working alongside people that are expected to be made redundant when the solution that you are introducing replaces their jobs. Training allowances are given, but sometimes you dont get to use it."
722112,SAP,2019-01-10, Anonymous Employee,"Current Employee, more than 5 years",,5,5.0,5.0,,5.0,5.0,5.0,v,v,o,Review,Great company to work for,there is no cons in
430375,J-P-Morgan,2021-01-13, Fixed Income Trader,Former Employee,"New York, NY",4,,,,,,,o,o,o,Fixed income trading analyst,Great company to work for,Not as attractive in nyc anymkre
488100,Marks-and-Spencer,2018-12-25, Anonymous Employee,Current Employee,,4,5.0,5.0,,3.0,4.0,4.0,v,o,v,Shop assistant,Good pay and good team,the work was very boring after six months
91315,Barclays,2020-01-18, Corporate Broking,"Current Employee, more than 3 years",,4,2.0,2.0,,4.0,4.0,3.0,o,o,o,Very strong banking professionals,Very good people. Strong bankers,"Once took pride in its culture, now seems to be slipping behind. No framework in place to establish a good work-life balance culture"
488951,Marks-and-Spencer,2020-02-16, Sales Assistant,"Current Employee, more than 1 year","Dublin, Dublin",4,3.0,4.0,,3.0,2.0,2.0,v,v,v,Pleasant,"lovely staff, good pay",management can be a bit stuck up and entitled
206541,Deloitte,2020-10-28, Director,"Former Employee, more than 1 year","London, England, England",3,2.0,2.0,4.0,5.0,4.0,2.0,x,o,r,"Overall, disappointing",Some very clever SME’s around. Great place to learn consulting with unlimited opportunities and a good set of clients.,"Work/life balance was the worst I’d had in 20+ years in consulting. Often working 5 days a week away from home and on the rare occasion I wasn’t on client site then was in the office - so missed children’s birthdays, parents evenings etc. I now see with COVID that 4 UK offices are closing with 100% WFH, so perhaps the pandemic has moved the firm in the right direction. 

Many of the Partners have come through the ranks from consultants - in some ways it’s great to see this opportunity, but unfortunately you’re left with a set of institutionalised Partners that have never worked anywhere else and are actually pretty inexperienced. This would explain some poor behaviours amongst some Partners that would not be accepted elsewhere. 

The partnership model also has its issues - this is not a hierarchical business with strong management top-down, but run more like a democracy. What you’re left with is a diluted strategy. For example some Partners wanted to do more with SAP, but others see the risks so the firm at the moment is generally not a hands on SAP System Integrator but more a Business Integrator - perhaps the recent acquisition of Keytree will change this."
144784,Citi,2017-02-17, Anonymous Employee,Former Employee,,3,1.0,2.0,,4.0,3.0,2.0,x,r,v,Investment Banking Analyst,Good deal flow and resources.,"Culture in group was poor. Bonus structure not based on skills or performance, but rather if you would stay long term."
713713,Ryan-LLC,2017-02-16, Anonymous Employee,"Current Employee, less than 1 year",,5,5.0,5.0,,5.0,5.0,5.0,v,v,v,An excellent fit,"After ten years of a public accounting environment, including my own practice for four years, I joined Ryan as I always wanted to pursue a career in sales tax.  I'm finding I'm growing in the environment I'm in, and I love the flexibility I have to work from home.  I love the general direction of the firm, and I can't wait to see what's in store for the future.","In all honesty, I have yet to find something about my career here that I find disappointing.   I love the work I do here."
51552,AstraZeneca,2017-04-19, Anonymous Employee,Current Employee,,4,,,,,,,o,o,o,"Great benefits, 5 word minimum  Share some of the best reasons to work at AstraZeneca Consgreat company","Science-driven organization, relaxed work environment.  Benefits are great.","Bureaucracy of a large company sometimes gets in the way, but they've been working to address this as of late."
473085,Korn-Ferry,2017-09-21, Anonymous Employee,"Current Employee, more than 5 years",,1,2.0,1.0,,3.0,2.0,1.0,x,x,v,Needs to practice what they preach,"- Great solutions and they are true industry leaders with their own business strategy.
- The longer you stay, the more vacation you receive.","They would rather pay someone straight out of a 4 year college with no experience more money than someone who has been with the company for 7 years with a Masters Degree in a relevant field,  who has been promoted twice and received consistent  high annual reviews.  This situation is a common issue within the firm."
467859,KPMG,2021-03-02, Audit Assistant,"Current Employee, more than 1 year","Birmingham, England, England",5,,,,,,,v,x,v,Good fun company,"Work with good clients, learn lots",Can be long hours during busy season
722776,SAP,2019-05-23, Project Manager,"Current Employee, more than 10 years","São Leopoldo, Rio Grande do Sul, Rio Grande do Sul",5,5.0,5.0,,5.0,5.0,4.0,v,v,v,Encouraging innovation in a very nice atmosphere to work!,"The company invest on innovation , but also take into consideration the biggest asset: it´s employees!","Not negative, but takes time to all employees to adapt to the recently reorganization in the company."
240004,EY,2015-10-25, Senior Auditor,"Current Employee, more than 3 years",Muscat,3,2.0,3.0,,4.0,3.0,2.0,v,r,v,Good opportunity to learn,Great opportunity to learn and get relevant exposure,long working hours and no time for family.
449347,KPMG,2015-03-01, Assistant External Auditor,Former Employee,Cairo,3,1.0,2.0,,4.0,2.0,1.0,v,r,r,gaining great experience in the accounting and audit field,"you can not have such experience except in audit firms
have a great opportunity to accelerate your finance career",hard work and tough work environment
483255,Lloyds-Banking-Group,2018-07-03, Senior KYC Analyst,"Current Employee, more than 3 years","Manchester City Centre, England, England",4,3.0,3.0,,3.0,5.0,3.0,v,v,v,Nuanced,"Excellent benefits ranging from dental care, ride to work schemes, car lease schemes through Lex Autolease, and best of all base rate 0.5% mortgage.","Typical ""bank"" atmosphere, plenty of bureaucracy, and difficult to progress into management banding without ""proof"" of experience in that specific role."
201165,Deloitte,2020-03-18, Graduate,"Current Employee, less than 1 year",Sydney,5,,,,,,,o,o,o,Consulting,"Great people, many opportunities to learn",Many hours on client site.
299872,Google,2021-02-22, Product Manager,Current Employee,"San Francisco, CA",5,,,,,,,o,o,o,Good place to work,A lot to learn and they make it easy.,Big machine with a lot of opinions and hurdles
527268,McDonald-s,2019-03-25, Cashier,"Former Employee, less than 1 year",,1,1.0,1.0,,1.0,1.0,1.0,x,x,x,Worst,"Free lunch 
Nice coworkers
8 hour shifts 
Free uniform 
Discounts on work shoes","Short Breaks 
Ignorant customers
None paid breaks 
Always busy 
Drive thru always backed up"
529255,McDonald-s,2019-07-22, Mcdonalds Crew Member,"Former Employee, more than 5 years",Tralee,4,3.0,2.0,,4.0,3.0,3.0,v,r,r,Crew Member at McDonald's,Great for students to earn money while studying,Stressful work environment at times
445021,John-Lewis-and-Partners,2021-02-17, Partner,"Current Employee, more than 3 years",,4,5.0,2.0,3.0,2.0,5.0,2.0,v,v,v,Average,"Benefits, over time, easy part time job","Managers are not the best at communication, but that it only where I worked. It would be different everywhere"
103991,Blue-Yonder,2012-05-28, Support Services,"Current Employee, less than 1 year","Scottsdale, AZ",4,5.0,4.0,,4.0,4.0,4.0,v,v,r,"Great people with strong ethics, but a bit of a mundane cubicle environment.","The office is full of fun, friendly, and ethical people. There is a strong sense of teamwork and compatibility between co-workers.","Unless you have an office, you will probably be working in a cubicle. Some of the IT staff do work in larger rooms together."
688826,PwC,2019-09-08, Risk Assurance Associate,"Current Employee, more than 1 year","New York, NY",4,1.0,5.0,,4.0,2.0,5.0,v,v,v,"Amazing people, lots of opportunity, long hours, understaffed engagements","Love the people, transparency from upper management down to interns, fun atmosphere, nice work ergonomic improvements to the office (i.e. treadmill desks, standing desks, dual monitors, massage chairs, nap pods, quiet spaces, phone booths for private calls, lots of healthy snack options, team collaborative spaces). Opportunity to take on a lot of responsibility and opportunity outside of workstream (i.e. extracurricular clubs, intramural sports teams, diversity groups), tons of opportunity for upskilling and training","Long hours, no overtime, lots of responsibility without the title, always ""acting"" next level but not compensated for it. Stressful job, weekend work, long busy season (~6 months in Fall/Winter). Extremely high turnover."
434729,J-Sainsbury,2015-10-12, Online Shopper,Current Employee,"Worksop, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Online shopper,Very good team to work with,"cold when you walk into the store
Floors are slippery
play music all the time"
332654,Hilton,2020-06-24, Recruitment Manager,"Current Employee, more than 10 years","McLean, VA",5,5.0,5.0,,5.0,5.0,5.0,v,v,x,Best place to work,Hands down best place to work .,There aren’t any cons - great place
86583,Barclays,2015-06-18, ,Current Employee,,2,3.0,2.0,,2.0,1.0,2.0,x,r,v,Banking,Large investment bank.  Able to see wide variety of products,High turnover in senior management.
799437,University-of-Glasgow,2020-03-19, Sales Assistant,Former Employee,"Glasgow, Scotland, Scotland",5,,,,,,,o,o,o,Sales Assistant for Gift Shop,Fun environment to work in as a student.,No particular cons. Some issues in timeliness of rotas etc.
678103,PwC,2016-07-28, ,"Former Employee, more than 3 years","Gurgaon, Haryana, Haryana",4,1.0,4.0,,5.0,3.0,3.0,v,r,v,Nice Place,"Good Payout, Good Growth, Job Security",Have to loose work life balance
245407,EY,2017-06-29, Senior Auditor,"Former Employee, more than 3 years",Lisbon,4,2.0,5.0,,5.0,2.0,5.0,v,v,v,Good place to start,"Ideal to develop your network
Great learning environment
Career progression",Tough balance between personal and work balance
87955,Barclays,2016-11-10, AVP,"Former Employee, more than 3 years",Chennai,4,2.0,3.0,,3.0,4.0,3.0,v,v,v,Good,"Great learning, reward and recognition, employee friendly, good salary structure, good opportunity , approachable managers, great peers, cohesive teams,",I had a good experience with barclays and hence do not have any cons to enumerate
201498,Deloitte,2020-04-21, Graduate,"Current Employee, less than 1 year",Melbourne,5,3.0,5.0,,5.0,4.0,5.0,v,v,v,Good place to start,"Opportunities, clients, experience, brand","Salary is not competitive, long working hours"
480324,LinkedIn,2018-02-03, Anonymous Employee,"Current Employee, more than 1 year",,2,3.0,3.0,,3.0,5.0,2.0,v,r,r,Such a disappointment,"Benefits are amazing—food, on-site perks, financial, all tremendous. Great pride in the generosity of the company, lots of Giving and a focus on making the world a better place.","So much inauthenticity wrapped in a thin veil of nice.  Everyone is Nice. And that’s it for most of the people. Decisions are made and unmade repeatedly, people promoted despite a dodgy track record, and sales performance comes first—no matter how toxic a seller might be.  If they’re hitting their numbers, they can treat everyone around them like dirt, and they will be protected. HR is borderline incompetent yet incredibly arrogant. I’ve been her 2 years plus and have known for a long time that I do not belong here. 

Everything is in the moment. No reflection and no planning."
767478,Tesco,2021-05-25, Head of Marketing,"Current Employee, more than 8 years","Welwyn Garden City, England, England",4,4.0,5.0,5.0,3.0,4.0,4.0,v,v,v,Great place to work - but easy to get lost,Great for leadership development with a real permission to fail and learn,"Lots of peers going after the same position so can be tricky to progress through the business - the best people are expert at navigating Tesco, rather than their actual job"
13357,Adecco,2021-04-28, Talent Acquisition Specialist,"Current Employee, less than 1 year",Singapore,5,5.0,5.0,5.0,5.0,4.0,5.0,v,r,r,Good Firm,"Good structure, proper guidelines and good reporting line.",Nothing that I can think of for now as am relatively new and growing.
